,WKN,Basiswert,Untere Barriere,Obere Barriere,Bewertungstag,Geld Kurs,Brief Kurs,Spread,Merkmale,Ausübungsart,Emittent,Info
137,SV6JUV,EURO STOXX 50,"3.600,00 Pkt.","5.400,00 Pkt.",20.10.2023,"9,490 EUR","9,590 EUR","1,04 %",,Europäisch,Société Générale,
138,SV1W2V,S&P 500,"3.600,00 Pkt.","5.000,00 Pkt.",15.12.2023,"9,390 EUR","9,490 EUR","1,05 %",,Europäisch,Société Générale,
139,SV1YNT,EURO STOXX 50,"3.800,00 Pkt.","4.600,00 Pkt.",15.09.2023,"9,410 EUR","9,510 EUR","1,05 %",,Europäisch,Société Générale,
140,SW14ZQ,EURO STOXX 50,"3.000,00 Pkt.","5.200,00 Pkt.",15.03.2024,"9,450 EUR","9,550 EUR","1,05 %",,Europäisch,Société Générale,
141,SW143B,S&P 500,"3.200,00 Pkt.","5.400,00 Pkt.",15.03.2024,"9,400 EUR","9,500 EUR","1,05 %",,Europäisch,Société Générale,
142,SV1W32,EURO STOXX 50,"3.400,00 Pkt.","5.200,00 Pkt.",15.12.2023,"9,430 EUR","9,530 EUR","1,05 %",,Europäisch,Société Générale,
143,SV1W31,EURO STOXX 50,"3.400,00 Pkt.","5.000,00 Pkt.",15.12.2023,"9,400 EUR","9,500 EUR","1,05 %",,Europäisch,Société Générale,
144,SV48LH,EURO STOXX 50,"3.400,00 Pkt.","5.400,00 Pkt.",15.12.2023,"9,420 EUR","9,520 EUR","1,05 %",,Europäisch,Société Générale,
145,SW143D,S&P 500,"3.200,00 Pkt.","5.800,00 Pkt.",15.03.2024,"9,400 EUR","9,500 EUR","1,05 %",,Europäisch,Société Générale,
146,SW143C,S&P 500,"3.200,00 Pkt.","5.600,00 Pkt.",15.03.2024,"9,400 EUR","9,500 EUR","1,05 %",,Europäisch,Société Générale,
147,SV433Y,S&P 500,"3.600,00 Pkt.","5.400,00 Pkt.",15.12.2023,"9,390 EUR","9,490 EUR","1,05 %",,Europäisch,Société Générale,
148,SV6LM1,S&P 500,"3.600,00 Pkt.","5.600,00 Pkt.",15.12.2023,"9,390 EUR","9,490 EUR","1,05 %",,Europäisch,Société Générale,
149,SV1W2W,S&P 500,"3.600,00 Pkt.","5.200,00 Pkt.",15.12.2023,"9,390 EUR","9,490 EUR","1,05 %",,Europäisch,Société Générale,
150,SV9ED5,S&P 500,"3.600,00 Pkt.","5.800,00 Pkt.",15.12.2023,"9,390 EUR","9,490 EUR","1,05 %",,Europäisch,Société Générale,
151,SV9A4N,EURO STOXX 50,"3.400,00 Pkt.","4.800,00 Pkt.",17.11.2023,"9,330 EUR","9,430 EUR","1,06 %",,Europäisch,Société Générale,
152,SV9HHS,S&P 500,"3.800,00 Pkt.","5.000,00 Pkt.",17.11.2023,"9,310 EUR","9,410 EUR","1,06 %",,Europäisch,Société Générale,
153,SW1426,S&P 500,"3.000,00 Pkt.","5.200,00 Pkt.",15.03.2024,"9,300 EUR","9,400 EUR","1,06 %",,Europäisch,Société Générale,
154,SV7L7X,Prosus,"40,000 EUR","90,000 EUR",15.12.2023,"9,300 EUR","9,400 EUR","1,064 %",,Europäisch,Société Générale,
155,SV9HHU,S&P 500,"3.800,00 Pkt.","5.400,00 Pkt.",17.11.2023,"9,300 EUR","9,400 EUR","1,06 %",,Europäisch,Société Générale,
156,SV9HHV,S&P 500,"3.800,00 Pkt.","5.600,00 Pkt.",17.11.2023,"9,300 EUR","9,400 EUR","1,06 %",,Europäisch,Société Générale,
157,SV9HHT,S&P 500,"3.800,00 Pkt.","5.200,00 Pkt.",17.11.2023,"9,310 EUR","9,410 EUR","1,06 %",,Europäisch,Société Générale,
158,SW14ZW,EURO STOXX 50,"3.200,00 Pkt.","5.400,00 Pkt.",15.03.2024,"9,290 EUR","9,390 EUR","1,06 %",,Europäisch,Société Générale,
159,SV9A4S,EURO STOXX 50,"3.600,00 Pkt.","5.000,00 Pkt.",17.11.2023,"9,240 EUR","9,340 EUR","1,07 %",,Europäisch,Société Générale,
160,SW14ZV,EURO STOXX 50,"3.200,00 Pkt.","5.200,00 Pkt.",15.03.2024,"9,230 EUR","9,330 EUR","1,07 %",,Europäisch,Société Générale,
